Full Sample,Selected Sample,Bounds,Sample Size
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
0.0,0.0,0.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
0.0,0.0,0.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
0.0,0.0,0.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
0.0,0.0,0.0,829
1.0,0.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
0.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
0.0,0.0,0.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
0.0,0.0,0.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,0.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
0.0,0.0,0.0,829
1.0,0.0,0.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
0.0,0.0,0.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
0.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
0.0,0.0,0.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,0.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
0.0,0.0,0.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
0.0,0.0,0.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
0.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
0.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
0.0,0.0,0.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,0.0,1.0,829
1.0,0.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
0.0,0.0,0.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
0.0,1.0,1.0,829
0.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,0.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
0.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
0.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
0.0,0.0,0.0,829
1.0,1.0,1.0,829
0.0,0.0,0.0,829
0.0,0.0,0.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
0.0,0.0,0.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
0.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
0.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
0.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
0.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
0.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
0.0,0.0,0.0,829
0.0,0.0,0.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
0.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
0.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,0.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
1.0,1.0,1.0,829
0.0,1.0,1.0,829
